                         COBERTURAS LÍMITE MÁXIMO POR   Unnamed: 0      FRANQUICIA
0                                           SINIESTRO          NaN             NaN
1   Seguridad y Salud en El Trabajo y Homicidio 50...          NaN  Sin franquicia
2                                         Empresarial          NaN             NaN
3   Extensión de Cobertura para El Administrador 2...          NaN     25.000,00 €
4   Persona Jurídica en Una Filial o Entidad Exter...          NaN             NaN
5                             límite de 250.000 Euros          NaN             NaN
6   Extensión de Cobertura para El Administrador 2...          NaN     25.000,00 €
7   Persona Jurídica en El Tomador de Seguro indem...          NaN             NaN
8                             límite de 250.000 Euros          NaN             NaN
9                       Asesoramiento Legal Concursal  50.000,00 €  Sin franquicia
10  Gastos de Defensa para La Persona Jurídica en ...          NaN     25.000,00 €
11  Procedimientos Penales (Cob. para La Sociedad)...          NaN             NaN
12                            límite de 250.000 Euros          NaN             NaN
13  Inhabilitación Profesional 60.000,00€ con Máxi...          NaN  Sin franquicia
14                       1.500,00€/mes, Máx. 12 meses          NaN             NaN
15  Límite Agregado Anual Total coberturas / total...          NaN             NaN
